,Target,SS,SS2,MWE,Notes,
चौथे,,,,,,
ग्रह,,,,,,
का,का,Possession,Possession,,,
स्वामी,,,,,,
एक,,,,,,
व्यवसायी,,,,,,
था,,,,,,
।,,,,,,
,,,,,,
वह,,,,,,
व्यक्ति,,,,,,
इतना,,,,,,
व्यस्त,,,,,,
था,,,,,,
कि,,,,,,
उसने,ने,Agent,Agent,,,
राजकुमार,,,,,,
के,का,Theme,Theme,,,
आने,,,,,,
की,का,Topic,Topic,,,
आहट,,,,,,
पर,पर,Explanation,Time,,*Q* feels more Time though,
अपना,का,Whole,Whole,,,
सिर,,,,,,
तक,तक,`d,`d,,emphatic,
नहीं,,,,,,
उठाया,,,,,,
।,,,,,,
,,,,,,
,,,,,,
नमस्ते,,,,,,
।,,,,,,
,,,,,,
आपकी,का,Possessor,Possessor,,,
सिगरेट,,,,,,
बुझ,,,,,,
चुकी,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
,,,,,,
राजकुमार,,,,,,
बोला।,,,,,,
,,,,,,
,,,,,,
तीन,,,,,,
दो,,,,,,
पांच।,,,,,,
,,,,,,
पांच,,,,,,
और,,,,,,
सात,,,,,,
ग्यारह,,,,,,
।,,,,,,
,,,,,,
नमस्कार,,,,,,
।,,,,,,
,,,,,,
पंद्रह,,,,,,
और,,,,,,
सात,,,,,,
बाईस,,,,,,
।,,,,,,
,,,,,,
बाईस,,,,,,
और,,,,,,
छः,,,,,,
अट्ठाईस,,,,,,
।,,,,,,
,,,,,,
उसे,को,Theme,Theme,,,
जलाने,,,,,,
तक,तक,`d,`d,,,
का,का,Purpose,Purpose,,,
वक्त,,,,,,
नहीं,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
छब्बीस,,,,,,
ओर,,,,,,
पांच,,,,,,
इकतीस,,,,,,
!,,,,,,
,,,,,,
हूं,,,,,,
...,,,,,,
,,,,,,
तो,,,,,,
कुछ,,,,,,
मिलाकर,,,,,,
पचास,,,,,,
करोड़,,,,,,
,,,,,,
सोलह,,,,,,
लाख,,,,,,
,,,,,,
बाईस,,,,,,
हजार,,,,,,
,,,,,,
सात,,,,,,
सौ,,,,,,
इकतीस,,,,,,
हुआ।,,,,,,
,,,,,,
,,,,,,
,,,,,,
पचास,,,,,,
करोड़,,,,,,
क्या,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
अच्छा,,,,,,
,,,,,,
तू,,,,,,
मौजूद,,,,,,
है,,,,,,
अभी,,,,,,
!,,,,,,
,,,,,,
,,,,,,
,,,,,,
पचास,,,,,,
करोड़,,,,,,
...,,,,,,
पचास,,,,,,
करोड़,,,,,,
पता,,,,,,
नहीं,,,,,,
क्या,,,,,,
....,,,,,,
याद,,,,,,
ही,,,,,,
नहीं,,,,,,
रहा,,,,,,
।,,,,,,
,,,,,,
इतना,,,,,,
काम,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
बड़ा,,,,,,
गम्भीर,,,,,,
आदमी,,,,,,
हूं,,,,,,
मैं,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
बेकार,,,,,,
की,का,Characteristic,Identity,,,
बातों,,,,,,
में,में,Topic,Topic,,,
नहीं,,,,,,
पड़ता,,,,,,
।,,,,,,
,,,,,,
दो,,,,,,
पांच,,,,,,
सात,,,,,,
...,,,,,,
,,,,,,
,,,,,,
,,,,,,
इक्यावन,,,,,,
करोड़,,,,,,
क्या,,,,,,
?,,,,,,
,,,,,,
,,,,,,
राजकुमार,,,,,,
ने,ने,Originator,Agent,,,
दोहराया,,,,,,
।,,,,,,
,,,,,,
एक,,,,,,
बार,,,,,,
सवाल,,,,,,
पूछने,,,,,,
पर,पर,Time,Time,,,
जीवन,,,,,,
में,में,Time,Time,,,
उसने,ने,Agent,Agent,,,
कभी,,,,,,
किसी,,,,,,
को,को,Theme,Theme,,,
उत्तर,,,,,,
पाए,,,,,,
बिना,बिना,Circumstance,Circumstance,,*Q*,
छोड़ा,,,,,,
नहीं,,,,,,
था,,,,,,
।,,,,,,
,,,,,,
व्यवसायी,,,,,,
ने,ने,Agent,Agent,,,
सिर,,,,,,
उठाया,,,,,,
,,,,,,
,,,,,,
,,,,,,
मैं,,,,,,
चौव्वन,,,,,,
साल,,,,,,
से,से,StartTime,Interval,,,
इस,,,,,,
ग्रह,,,,,,
पर,पर,Locus,Locus,,,
हूं,,,,,,
और,,,,,,
इस,,,,,,
बीच,के बीच,Time,Time,,,
मेरे,का,Agent,Gestalt,,,
काम,,,,,,
में,में,Theme,Theme,,the work is undergoing a change of state (an interruption),
केवल,,,,,,
तीन,,,,,,
बार,,,,,,
बाधा,,,,,,
पड़ी,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
पहली,,,,,,
बार,,,,,,
,,,,,,
बाईस,,,,,,
साल,,,,,,
हुए,,,,,,
,,,,,,
एक,,,,,,
